Location,SiteID,Water_Type,Ruggedness,Trees,YR,Season,SampMonth,Month3,Week,Species,TotalPassCount,NightCount,AvgPasses_perNight
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,23,BAT,200,7,28.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,23,Epfu,64,7,9.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,23,Laci,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,23,Lano,19,7,2.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,24,BAT,31,7,4.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,24,Epfu,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,24,Laci,5,7,0.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,24,Lano,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,25,BAT,124,7,17.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,25,Epfu,37,7,5.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,25,Laci,20,7,2.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,25,Lano,12,7,1.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,25,Myev,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,26,BAT,50,7,7.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,26,Epfu,9,7,1.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,26,Lano,5,7,0.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,6,Jun,26,Myev,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,7,Jul,27,BAT,4,7,0.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2014,Active,7,Jul,27,Laci,1,7,0.142857
